# 官方「内存明细」逐秒序列（单位 MB），每 10 s 抽样一点
time	GL	Graph	ArktsHeap	NativeHeap	Stack	SharedClean	SharedDirty	PrivateClean	PrivateDirty	SwapPss	HeapSize	HeapAlloc	HeapFree
00:00	903.3	80	5.2	19.3	0.5	108.6	16.6	44.7	985.2	86.1	90.6	88.1	0.7
00:10	1038.1	80	5.3	24.6	0.6	109.9	9.4	54.1	1120.1	90.7	96.4	93.9	0.5
00:20	1115.8	80	5.3	28.2	0.6	110.3	20.2	56.4	1198.7	88.6	100	97.6	0.6
00:30	1209.1	80	1.2	19.8	0.5	112.1	20.2	43.8	1291.9	100.9	106.2	103.5	0.6
00:40	1209.1	80	1.6	19.1	0.4	111.9	8.5	43	1291.1	107.5	106.5	103.8	0.5
00:50	1209.1	80	2.2	19.4	0.4	111.3	8.2	44.7	1291.4	108.6	106.8	104.1	0.5
01:00	1209.1	80	1.4	20	0.4	111.3	8	43	1290.9	111.7	107.5	104.8	0.5
01:10	1180.6	80	0.8	19	0.4	111.4	6.7	38.6	1262.2	115.9	107.5	104.6	0.5
01:20	1180.6	80	0.7	19.1	0.4	111.4	6.8	38.4	1262.1	114.8	107.6	104.8	0.5
01:30	1180.6	80	0.8	19.6	0.4	111.4	7	41.7	1262.2	114.1	108.1	105.2	0.5
01:40	1180.6	80	0.9	20.5	0.4	92.4	7.1	60.7	1261.8	113.7	108.5	105.6	0.5
01:50	1180.6	80	0.9	20.5	0.4	92.4	12.5	62.2	1262.6	113.4	108.8	106	0.5
02:00	1180.6	80	1.1	21.3	0.4	92.4	12.7	60.9	1262.6	113.3	109	106.1	0.5
02:10	1180.6	80	1.1	20.9	0.4	92.4	11.9	60.4	1262.5	113.7	109.4	106.5	0.5
02:20	1180.6	80	1.1	21.3	0.4	92.4	12.4	61.8	1262.6	113.6	109.6	106.7	0.5
02:30	1178.6	80	1	20.7	0.4	86.6	12.2	53.9	1260.6	113.7	109.6	106.8	0.5
02:40	1096.7	80	0.9	21.6	0.4	89	6.7	58.1	1178.2	114.5	106.4	103.6	0.5
02:50	1096.7	80	1	22.1	0.4	89.3	6.8	58.9	1178.3	114.2	106.7	103.8	0.5
03:00	1096.7	80	1.1	22.9	0.4	89.6	8.3	60.3	1178.3	113.6	106.8	103.9	0.5
03:10	1093.2	80	1	22.9	0.4	92.3	15.7	59.5	1175.3	112.2	105.5	102.5	0.5
